Key,Name
ACC,Accounting
AE,Aerospace Engineering
AF,Air Force ROTC
AR,Army ROTC
ART,Art
BE,Biomedical Engineering
BL,Biological Sciences
BUS,Business
CEE,Civil & Environmental Eng
CH,Chemistry
CM,Chemical Engineering
CMG,Construction Management
CS,Computer Science
DATA,Data Science
EC,Economics
EE,Electrical & Computer Engrg
EET,Electrical Eng Technology
ENG,Engineering Fundamentals
ENT,Enterprise
FIN,Finance
FW,Forest Resources & Env Sci
GE,Geo & Mining Eng & Sci
HF,Human Factors
HON,Pavlis Honors
HU,Humanities
KIP,Kinesiology & Integ Phys
MA,Mathematical Sciences
ME,Mechanical Engineering
MET,Mechanical Eng Technology
MGT,Management
MIS,Management Info Systems
MKT,Marketing
MSE,Materials Sci & Eng
MUS,Music
NUR,Nursing
OSM,Oper & Supply Chain Mgmt
PE,Physical Education
PH,Physics
PSY,Psychology
SA,Sciences and Arts
SAT,Systems Admin Technology
SND,Sound
SS,Social Sciences
SU,Surveying
THEA,Theatre
UN,University Wide
